term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
boolean	False	False	cosine	1,1,1,1	0.1600	0.0611	0.0264	0.0083	0.0825	0.0008	0.5961	0.2633
boolean	False	False	cosine	1,3,4,1	0.1600	0.0611	0.0264	0.0083	0.0825	0.0008	0.5961	0.2633
boolean	False	False	cosine	1,1,1,4	0.1600	0.0611	0.0264	0.0083	0.0825	0.0008	0.5961	0.2633
boolean	False	False	jaccard	1,1,1,1	0.0890	0.0294	0.0182	0.0056	0.0455	0.0006	0.7546	0.3659
boolean	False	False	jaccard	1,3,4,1	0.0890	0.0294	0.0182	0.0056	0.0455	0.0006	0.7546	0.3659
boolean	False	False	jaccard	1,1,1,4	0.0890	0.0294	0.0182	0.0056	0.0455	0.0006	0.7546	0.3659
boolean	False	False	dice	1,1,1,1	0.0884	0.0293	0.0181	0.0056	0.0452	0.0006	0.7582	0.3705
boolean	False	False	dice	1,3,4,1	0.0884	0.0293	0.0181	0.0056	0.0452	0.0006	0.7582	0.3705
boolean	False	False	dice	1,1,1,4	0.0884	0.0293	0.0181	0.0056	0.0452	0.0006	0.7582	0.3705
boolean	False	False	overlap	1,1,1,1	0.2507	0.0872	0.0341	0.0096	0.1240	0.0010	0.5627	0.2054
boolean	False	False	overlap	1,3,4,1	0.2507	0.0872	0.0341	0.0096	0.1240	0.0010	0.5627	0.2054
boolean	False	False	overlap	1,1,1,4	0.2507	0.0872	0.0341	0.0096	0.1240	0.0010	0.5627	0.2054
boolean	False	True	cosine	1,1,1,1	0.1840	0.0790	0.0348	0.0100	0.0992	0.0010	0.7577	0.3268
boolean	False	True	cosine	1,3,4,1	0.1840	0.0790	0.0348	0.0100	0.0992	0.0010	0.7577	0.3268
boolean	False	True	cosine	1,1,1,4	0.1840	0.0790	0.0348	0.0100	0.0992	0.0010	0.7577	0.3268
boolean	False	True	jaccard	1,1,1,1	0.1068	0.0435	0.0259	0.0078	0.0588	0.0008	0.7833	0.3520
boolean	False	True	jaccard	1,3,4,1	0.1068	0.0435	0.0259	0.0078	0.0588	0.0008	0.7833	0.3520
boolean	False	True	jaccard	1,1,1,4	0.1068	0.0435	0.0259	0.0078	0.0588	0.0008	0.7833	0.3520
boolean	False	True	dice	1,1,1,1	0.1062	0.0433	0.0257	0.0077	0.0584	0.0008	0.7852	0.3540
boolean	False	True	dice	1,3,4,1	0.1062	0.0433	0.0257	0.0077	0.0584	0.0008	0.7852	0.3540
boolean	False	True	dice	1,1,1,4	0.1062	0.0433	0.0257	0.0077	0.0584	0.0008	0.7852	0.3540
boolean	False	True	overlap	1,1,1,1	0.2587	0.1222	0.0560	0.0105	0.1456	0.0010	0.7490	0.3106
boolean	False	True	overlap	1,3,4,1	0.2587	0.1222	0.0560	0.0105	0.1456	0.0010	0.7490	0.3106
boolean	False	True	overlap	1,1,1,4	0.2587	0.1222	0.0560	0.0105	0.1456	0.0010	0.7490	0.3106
boolean	True	False	cosine	1,1,1,1	0.1836	0.0828	0.0343	0.0082	0.1002	0.0008	0.5264	0.2289
boolean	True	False	cosine	1,3,4,1	0.1836	0.0828	0.0343	0.0082	0.1002	0.0008	0.5264	0.2289
boolean	True	False	cosine	1,1,1,4	0.1836	0.0828	0.0343	0.0082	0.1002	0.0008	0.5264	0.2289
boolean	True	False	jaccard	1,1,1,1	0.1012	0.0264	0.0170	0.0061	0.0482	0.0006	0.7108	0.3418
boolean	True	False	jaccard	1,3,4,1	0.1012	0.0264	0.0170	0.0061	0.0482	0.0006	0.7108	0.3418
boolean	True	False	jaccard	1,1,1,4	0.1012	0.0264	0.0170	0.0061	0.0482	0.0006	0.7108	0.3418
boolean	True	False	dice	1,1,1,1	0.0978	0.0263	0.0169	0.0061	0.0470	0.0006	0.7154	0.3461
boolean	True	False	dice	1,3,4,1	0.0978	0.0263	0.0169	0.0061	0.0470	0.0006	0.7154	0.3461
boolean	True	False	dice	1,1,1,4	0.0978	0.0263	0.0169	0.0061	0.0470	0.0006	0.7154	0.3461
boolean	True	False	overlap	1,1,1,1	0.2188	0.0844	0.0524	0.0094	0.1186	0.0009	0.4988	0.1730
boolean	True	False	overlap	1,3,4,1	0.2188	0.0844	0.0524	0.0094	0.1186	0.0009	0.4988	0.1730
boolean	True	False	overlap	1,1,1,4	0.2188	0.0844	0.0524	0.0094	0.1186	0.0009	0.4988	0.1730
boolean	True	True	cosine	1,1,1,1	0.2042	0.0944	0.0404	0.0076	0.1130	0.0008	0.6551	0.2600
boolean	True	True	cosine	1,3,4,1	0.2042	0.0944	0.0404	0.0076	0.1130	0.0008	0.6551	0.2600
boolean	True	True	cosine	1,1,1,4	0.2042	0.0944	0.0404	0.0076	0.1130	0.0008	0.6551	0.2600
boolean	True	True	jaccard	1,1,1,1	0.1065	0.0342	0.0231	0.0070	0.0546	0.0007	0.7134	0.3100
boolean	True	True	jaccard	1,3,4,1	0.1065	0.0342	0.0231	0.0070	0.0546	0.0007	0.7134	0.3100
boolean	True	True	jaccard	1,1,1,4	0.1065	0.0342	0.0231	0.0070	0.0546	0.0007	0.7134	0.3100
boolean	True	True	dice	1,1,1,1	0.1048	0.0341	0.0231	0.0070	0.0540	0.0007	0.7179	0.3152
boolean	True	True	dice	1,3,4,1	0.1048	0.0341	0.0231	0.0070	0.0540	0.0007	0.7179	0.3152
boolean	True	True	dice	1,1,1,4	0.1048	0.0341	0.0231	0.0070	0.0540	0.0007	0.7179	0.3152
boolean	True	True	overlap	1,1,1,1	0.2594	0.1076	0.0611	0.0099	0.1427	0.0010	0.6364	0.2399
boolean	True	True	overlap	1,3,4,1	0.2594	0.1076	0.0611	0.0099	0.1427	0.0010	0.6364	0.2399
boolean	True	True	overlap	1,1,1,4	0.2594	0.1076	0.0611	0.0099	0.1427	0.0010	0.6364	0.2399
